PB,RN,Error,Pitch,E P,E C,E IF,E OF,O RP,O RN,O LP,O LN,O P,CD RP,CD RN,CD LP,CD LN,CD P,RADV 1b7,RADV 1b8,RADV 1b9,RADV 2b
2,78,No,No,2,2,3,5,G6,F7,L3,G6A,GX4,CF,2B,2B,RF,1B,1/1O,1/2,1O,2O
8,57,No,No,1,3,1,5,GX3,FD9,G5A,G2A,G4,1B,CF,1B,P,SS,1/1O,1/2,1O,2O
4,12,No,Yes,3,2,1,4,G5A,F5,G3,F8,F7,RF,1B,RF,1B,C,1/1,1/1,1/1,2
6,33,3-20,Yes,3,3,3,4,GX6,F8,G4,G6,GX5,CF,SS,1B,2B,1B,1/1,1/1,1/1,2
CD,35,3-20,Yes,3,2,2,4,GX6,GX6,L1,G4,FD7,CF,P,C,1B,P,1/1,1/1,1/1,2
CD,44,3-20,Yes,1,2,2,5,G5A,F8,FD8,G6,L1,CF,RF,RF,1B,2B,1/1,1/1,1/1,2
7,33,No,Yes,2,2,1,4,FD8,F7,FD8,FD8,L3,1B,CF,2B,RF,1B,1/1,1/1,1/1,2
4,18,No,No,2,3,1,4,FD7,F7,GX4,FD8,F9,2B,1B,SS,P,1B,1/1O,1/2,1O,2O
6,43,No,No,2,2,2,4,F8,F2,F9,F8,G4,SS,3B,RF,SS,P,1/1O,1/2,1O,2O
5,57,No,Yes,1,2,3,4,L1,FD7,F4,L4,GX3,RF,2B,2B,2B,2B,1/1O,1/2,1O,2O
8,62,No,Yes,1,2,1,4,F9,F5,G3,G6A,GX6,P,RF,SS,RF,RF,1/1O,1/2,1O,2O
3,75,No,No,2,2,1,4,G6,F8,F9,F9,G4A,1B,RF,1B,2B,1B,1/1O,1/2,1O,2O
5,75,No,Yes,2,2,2,5,G3A,G4,G2A,F7,F2,3B,P,1B,3B,3B,1/1,1/1,1/1,2
3,37,4-20,Yes,1,2,3,4,F7,GX6,G4A,FD8,F5,RF,CF,RF,P,2B,1/1,1/1,1/1,2
3,37,4-20,Yes,1,3,3,4,L6,G4,G6A,L3,F6,P,2B,2B,SS,C,1/1,1/1,1/1,2
2,82,4-20,Yes,1,3,3,5,G5,GX5,F9,G4,L1,SS,2B,1B,C,C,1/1,1/1,1/1,2
8,37,12-20,Yes,1,2,3,5,FD7,G5,F3,F4,G3,3B,CF,RF,3B,CF,1/1,1/1,1/1,2
8,66,No,No,1,3,3,5,G4,GX1,GX4,G6A,FD8,P,1B,SS,2B,P,1/1O,1/2,1O,2O
11,24,No,Yes,2,2,1,5,G5A,GX6,G3A,F8,GX5,2B,CF,3B,2B,1B,1/1O,1/2,1O,2O
4,51,No,No,2,2,1,3,F8,G4,G4,G4A,G6,SS,2B,C,3B,CF,1/1O,1/2,1O,2O
7,34,No,No,2,2,2,5,F8,F9,L4,G5A,G4A,2B,RF,CF,3B,P,1/1O,1/2,1O,2O
11,18,No,No,1,2,1,4,GX6,F8,FD9,G4A,F7,CF,1B,RF,CF,2B,1/1O,1/2,1O,2O
9,86,No,Yes,1,1,3,5,G6,L5,F9,F2,G3A,1B,3B,RF,3B,CF,1/1,1/1,1/1,2
8,55,5-20,Yes,2,3,3,5,L5,G6,G6,GX6,G3,1B,1B,CF,1B,C,1/1,1/1,1/1,2
2,14,5-20,Yes,2,1,1,4,G6,G2A,G6,FD8,G5A,RF,SS,P,SS,C,1/1,1/1,1/1,2
7,33,5-20,Yes,2,2,3,5,FD7,G5,FD7,F8,G3,3B,2B,RF,P,1B,1/1,1/1,1/1,2
4,36,12-20,Yes,3,1,2,4,F3,FD7,L3,F8,GX3,3B,P,RF,RF,LF,1/1,1/1,1/1,2
9,17,No,Yes,2,2,1,5,FD8,F7,F8,F9,G6A,RF,3B,CF,LF,1B,1/2,1O/2,1O/2,2O
6,87,13-20,No,2,1,2,3,FD7,FD7,FD8,GX1,G4,2B,3B,RF,CF,P,1/2,1O/2,1O/2,2O
3,77,13-20,No,1,2,1,5,G6,F7,FD7,GX3,G2A,C,CF,RF,LF,C,1/2,1O/2,1O/2,2O
8,82,13-20,No,2,2,2,4,FD8,G3A,G4A,G5A,G1A,RF,RF,RF,1B,CF,1/2,1O/2,1O/2,2O
8,48,No,Yes,1,3,3,5,F2,G6A,F8,GX3,G2A,CF,CF,CF,SS,SS,1/2,1O/2,1O/2,2O
12,87,No,Yes,2,2,2,5,G4,F6,G4A,G4A,G4,2B,2B,2B,3B,CF,1/1,1/1,1/1,2
7,78,6-20,No,3,2,3,4,G6,GX6,G3A,F7,FD9,2B,3B,CF,RF,RF,1/1,1/1,1/1,2
6,26,6-20,Yes,1,2,2,5,GX3,F8,G3,G3,G5A,C,2B,1B,SS,3B,1/1,1/1,1/1,2
9,13,6-20,Yes,2,2,3,4,L6,F9,G5A,GX4,G5,LF,RF,1B,P,3B,1/1,1/1,1/1,2
3,56,12-20,Yes,2,2,1,4,G6,GX5,G3,F9,G6,2B,LF,LF,RF,LF,1/1,1/1,1/1,2
2,65,14-20,No,2,2,1,5,F9,GX3,G6,G3,F5,2B,P,CF,CF,RF,1/2,1O/2,1O/2,2O
10,62,14-20,No,1,2,3,5,G6,F9,F9,F8,G4,LF,2B,RF,SS,P,1/2,1O/2,1O/2,2O
6,85,14-20,No,2,2,1,4,L5,F6,GX6,G3,F5,SS,RF,3B,LF,CF,1/2,1O/2,1O/2,2O
CD,52,No,No,1,3,3,4,GX6,FD7,F2,G4A,G6,P,RF,RF,1B,SS,1/2,1O/2,1O/2,2O
8,66,15-20,No,2,2,3,5,G6,G4A,FD8,G3,G5A,2B,3B,RF,1B,LF,1/2,1O/2,1O/2,2O
9,45,No,Yes,1,2,1,4,F8,G5A,G3,G3,F7,1B,P,RF,SS,RF,1/1,1/1,1/1,2
3,13,7-20,Yes,1,2,2,4,FD7,F7,F9,FD7,GX3,CF,3B,P,SS,C,1/1,1/1,1/1,2
6,34,7-20,Yes,2,3,2,5,FD7,G4A,F9,G6,G4A,CF,SS,RF,SS,C,1/1,1/1,1/1,2
9,67,7-20,Yes,3,2,1,4,GX6,F9,F9,F9,F4,CF,RF,LF,LF,RF,1/1,1/1,1/1,2
3,31,No,Yes,3,2,3,4,FD8,G2A,F3,L4,GX4,LF,C,CF,1B,C,1/1,1/1,1/1,2
6,87,15-20,Yes,3,2,2,4,G5A,FD9,G3,FD9,F8,2B,LF,1B,LF,LF,1/2,1O/2,1O/2,2O
3,77,15-20,No,3,2,3,4,FD9,GX6,F7,GX6,F8,SS,SS,RF,LF,LF,1/2,1O/2,1O/2,2O
3,83,No,No,1,3,1,4,GX3,GX6,GX4,F5,L6,1B,RF,LF,CF,CF,1/2,1O/2,1O/2,2O
CD,38,16-20,No,3,3,2,4,F9,G2A,G3,FD8,FD9,CF,SS,CF,LF,RF,1/2,1O/2,1O/2,2O
8,62,16-20,Yes,3,2,1,4,GX5,G6A,FD7,GX4,G6A,LF,RF,SS,CF,CF,1/2,1O/2,1O/2,2O
9,41,No,Yes,3,3,2,3,G5A,L5,G5,F9,G3A,3B,SS,1B,LF,CF,1/1,1/1,1/1,2
5,57,8-20,Yes,1,1,2,5,F7,F9,FD8,G2A,G3,C,SS,SS,C,3B,1/1,1/1,1/1,2
12,33,8-20,Yes,3,1,1,4,L5,GX3,G4A,F8,L5,CF,2B,RF,SS,LF,1/1,1/1,1/1,2
2,48,8-20,Yes,1,3,3,4,F6,F8,G6,G4A,F4,RF,CF,LF,SS,CF,1/1,1/1,1/1,2
9,15,No,Yes,3,1,1,5,G4,G6A,G3,F7,G4A,2B,SS,CF,LF,RF,1/1,1/1,1/1,2
7,51,16-20,Yes,3,2,3,4,GX6,F8,G1A,GX3,F7,CF,2B,2B,1B,SS,1/2,1O/2,1O/2,2O
10,76,17-20,Yes,1,2,2,4,F5,G5,F5,FD9,G6A,P,2B,1B,LF,RF,1/2,1O/2,1O/2,2O
4,14,17-20,No,3,2,2,5,FD7,F9,GX4,F8,F6,SS,2B,3B,LF,CF,1/2,1O/2,1O/2,2O
10,12,17-20,Yes,3,2,1,5,FD9,G6,G4,F5,G3,CF,2B,CF,C,C,1/2,1O/2,1O/2,2O
7,55,17-20,Yes,3,2,1,4,G5,GX6,F4,F2,GX5,LF,P,RF,1B,LF,1/2,1O/2,1O/2,2O
7,52,No,Yes,1,1,1,3,F3,G5,G3,GX4,G5,3B,C,3B,LF,C,1/1,1/1,1/1,2
8,21,9-20,Yes,2,2,1,5,F5,G6,G5A,F9,GX3,CF,SS,C,2B,SS,1/1,1/1,1/1,2
4,46,9-20,No,3,2,3,4,F7,GX3,G4,F6,F8,3B,SS,1B,LF,1B,1/1,1/1,1/1,2
6,68,9-20,No,3,2,3,4,FD9,G2A,GX5,F9,G6,LF,3B,RF,RF,3B,1/1,1/1,1/1,2
2,71,No,No,2,2,3,4,G6,G6,L1,FD7,F3,3B,2B,CF,3B,CF,1/1,1/1,1/1,2
12,84,18-20,Yes,2,2,2,3,G4A,F7,G4,G3,G4,RF,2B,CF,2B,LF,1O/2,1O/2,1O/2,2O
5,82,18-20,No,2,2,2,3,GX1,F8,L4,G4,G4A,1B,SS,2B,P,C,1O/2,1O/2,1O/2,2O
5,35,18-20,No,1,2,1,4,FD9,F8,F7,FD7,F3,P,SS,2B,LF,P,1O/2,1O/2,1O/2,2O
9,86,18-20,Yes,1,2,1,4,G4,GX6,FD9,G5,G3,CF,LF,C,2B,C,1O/2,1O/2,1O/2,2O
6,47,No,Yes,1,2,3,5,F7,F9,L4,G6,G4A,RF,RF,LF,CF,2B,1O/2,1O/2,1O/2,2O
8,87,11-20,Yes,2,2,1,4,L1,GX6,G6,GX3,F5,RF,2B,CF,LF,RF,1/1,1/1,1/1,2
7,68,11-20,Yes,3,3,3,4,G5,G5A,FD9,G3,G3,CF,P,RF,P,SS,1/1,1/1,1/1,2
6,23,No,Yes,2,2,3,5,G6A,GX5,F7,G3A,GX5,SS,LF,RF,SS,P,1/1,1/1,1/1,2
7,22,10-20,Yes,2,2,1,3,FD8,F8,G5,G5,G4,C,C,1B,SS,CF,1/1,1/1,1/1,2
CD,52,No,Yes,2,2,1,3,FD8,G3A,GX3,FD8,G6A,3B,RF,CF,C,C,1/1,1/1,1/1,2
3,66,19-20,Yes,3,2,3,4,G1A,FD8,L4,GX3,GX6,P,1B,SS,SS,2B,1O/2,1O/2,1O/2,2O
9,81,19-20,No,2,2,2,4,G5,G5A,G4A,F7,F9,SS,3B,1B,2B,C,1O/2,1O/2,1O/2,2O
10,78,19-20,No,1,2,2,5,G4A,F8,FD9,F7,F8,2B,RF,P,SS,3B,1O/2,1O/2,1O/2,2O
4,32,19-20,Yes,3,1,3,3,L4,F6,G4,L1,GX1,LF,C,2B,LF,SS,1O/2,1O/2,1O/2,2O
CD,77,20,Yes,2,2,3,4,GX3,FD7,F8,F8,F8,LF,SS,LF,C,2B,1O/2,1O/2,1O/2,2O
6,42,No,No,2,2,3,5,L4,F8,F9,G4A,GX3,RF,C,CF,3B,2B,1/1,1/1,1/1,2
7,23,No,No,3,2,1,5,GX6,GX1,F8,F7,GX3,LF,3B,C,1B,2B,1/1,1/1,1/1,2
7,72,No,No,2,2,2,5,G5,FD7,F9,L4,F9,2B,SS,2B,RF,P,1/1,1/1,1/1,2
5,67,No,No,2,2,1,4,G6A,G6A,G4A,L4,G6,2B,RF,RF,LF,C,1/1,1/1,1/1,2
7,27,No,No,2,1,1,5,F8,GX6,G6A,F9,L1,LF,2B,SS,P,C,1/1,1/1,1/1,2
12,78,No,No,3,2,1,5,FD8,L6,G4A,F9,L6,2B,LF,SS,1B,1B,1O/2,1O/2,1O/2,2O
9,42,No,Yes,1,3,3,4,G6,G5A,FD9,G3A,G1A,3B,3B,2B,1B,CF,1O/2,1O/2,1O/2,2O
5,82,20,No,1,2,3,3,L4,F9,G4,F8,GX6,SS,CF,2B,SS,CF,1O/2,1O/2,1O/2,2O
5,38,20,No,3,2,1,4,L5,G3,G3,G6A,FD8,C,C,CF,RF,CF,1O/2,1O/2,1O/2,2O
CD,34,20,No,2,3,3,5,G2A,GX5,G3A,FD7,G4A,SS,2B,CF,P,2B,1O/2,1O/2,1O/2,2O
8,31,No,Yes,2,2,2,5,L5,F2,G4,G6,G4,P,RF,CF,2B,2B,1/1,1/1,1/1,2
8,31,No,Yes,1,2,1,4,F6,G2A,FD7,GX4,G3A,CF,SS,RF,CF,P,1/1,1/1,1/1,2
9,88,No,Yes,2,2,3,5,FD7,F2,FD9,F4,G4,3B,SS,2B,C,2B,1/1,1/1,1/1,2
5,75,No,Yes,1,2,1,5,G6,G6,L4,GX4,G6A,RF,LF,1B,LF,3B,1/1,1/1,1/1,2
6,52,No,Yes,2,3,2,5,F7,GX5,GX4,F5,G6,RF,SS,CF,SS,RF,1/1,1/1,1/1,2
7,64,No,Yes,2,2,1,5,F7,L6,GX6,G3A,G4,2B,P,CF,LF,P,1O/2,1O/2,1O/2,2O
CD,24,No,No,2,2,2,5,F2,G1A,F5,G5A,G1A,SS,SS,SS,LF,LF,1O/2,1O/2,1O/2,2O
4,72,No,Yes,2,2,2,3,FD7,G4A,G6A,L4,GX3,LF,3B,1B,RF,SS,1O/2,1O/2,1O/2,2O
6,12,No,No,1,2,3,4,FD7,FD7,F4,F8,G4,CF,RF,P,LF,RF,1O/2,1O/2,1O/2,2O
5,64,No,No,1,3,3,3,F6,FD8,G4,F8,F3,3B,P,LF,P,P,1O/2,1O/2,1O/2,2O
5,21,No,Yes,2,3,1,3,L1,F7,GX5,F3,G3A,3B,RF,2B,3B,LF,1/1,1/1,1/1,2
8,73,No,Yes,3,1,1,4,FD7,G4A,F9,FD8,G5,P,C,CF,CF,P,1/1,1/1,1/1,2
6,36,No,Yes,3,2,2,5,F6,G6,F8,G6,G5,RF,CF,LF,LF,3B,1/1,1/1,1/1,2
4,35,No,Yes,3,2,1,5,F7,G5,GX4,G2A,G4,3B,SS,1B,SS,CF,1/1,1/1,1/1,2
CD,65,No,Yes,3,2,3,4,G5,G5A,G3,L4,GX5,3B,SS,2B,2B,2B,1/1,1/1,1/1,2
6,12,No,Yes,2,2,1,5,G2A,G6A,G4,G4,G4,3B,3B,SS,CF,RF,1O/2,1O/2,2,2O
5,81,No,Yes,2,2,3,5,L5,G4,G1A,G4,F9,3B,2B,2B,RF,2B,1O/2,1O/2,2,2O
2,57,No,No,2,1,3,4,G4A,G5A,G5A,F8,L3,1B,2B,2B,SS,RF,1O/2,1O/2,2,2O
5,85,No,No,2,2,1,4,GX5,F8,L3,L3,GX1,RF,CF,LF,RF,LF,1O/2,1O/2,2,2O
8,54,No,Yes,2,2,2,5,F7,F2,G4,F7,G4,LF,CF,CF,CF,RF,1O/2,1O/2,2,2O
8,73,No,Yes,1,2,3,5,G6,GX4,F9,G4,G3A,P,LF,CF,3B,LF,1/1,1/1,1/1,2
12,17,No,Yes,3,1,1,5,G5,G5,G6,GX1,GX1,CF,CF,2B,RF,SS,1/1,1/1,1/1,2
4,25,No,Yes,2,2,1,4,G3A,FD7,FD8,F9,F2,SS,P,2B,SS,P,1/1,1/1,1/1,2
9,46,No,Yes,3,2,1,4,L5,G5A,F5,FD7,L1,CF,P,1B,LF,P,1/1,1/1,1/1,2
9,54,No,Yes,1,2,2,5,G5,G6,F9,F8,F8,3B,CF,CF,LF,P,1/1,1/1,1/1,2
CD,14,No,No,3,2,3,5,F7,F8,F8,GX3,F9,2B,C,2B,LF,2B,1O/2,1O/2,2,2O
6,26,No,No,3,2,3,4,G6A,GX1,F9,G3,G3A,RF,SS,P,2B,LF,1O/2,1O/2,2,2O
8,27,No,Yes,1,2,2,4,G4A,F8,GX4,F3,F9,SS,LF,3B,CF,P,1O/2,1O/2,2,2O
7,37,No,No,1,2,2,5,G5,G6,FD9,GX4,F7,C,RF,1B,2B,3B,1O/2,1O/2,2,2O
Z,32,No,No,2,2,1,4,F7,G6,FD9,F7,GX4,LF,LF,CF,2B,CF,1O/2,1O/2,2,2O
6,28,No,No,2,2,1,4,G6A,G2A,GX3,F8,G4A,C,C,LF,3B,CF,1/1,1/1,1/1,2
7,51,No,Yes,2,3,3,5,GX6,FD8,G5,G5A,G4A,SS,SS,LF,LF,C,1/1,1/1,1/1,2
9,64,No,Yes,1,2,2,5,G6,F8,GX1,F8,F8,1B,SS,2B,3B,CF,1/1,1/1,1/1,2
9,43,No,No,1,1,3,4,F8,F9,G1A,F9,G3,CF,3B,1B,LF,SS,1/1,1/1,1/1,2
9,55,No,Yes,2,3,3,5,GX5,G4A,F8,F8,GX4,LF,CF,RF,2B,SS,1/1,1/1,1/1,2
5,28,No,No,1,2,1,5,F5,G5,GX1,FD9,G6,CF,1B,3B,2B,P,1O/2,1O/2,2,2O
8,74,No,No,2,2,2,5,GX4,G6A,F7,F6,F9,3B,2B,3B,RF,1B,1O/2,1O/2,2,2O
10,57,No,Yes,3,2,3,4,G6A,F9,G6,GX4,FD7,SS,CF,C,1B,CF,1O/2,1O/2,2,2O
8,12,No,Yes,1,2,2,4,GX5,GX5,GX1,F8,G5,LF,CF,CF,P,P,1O/2,1O/2,2,2O
CD,72,No,No,2,3,1,5,FD7,G6,G3,GX6,L6,RF,RF,SS,RF,SS,1O/2,1O/2,2,2O
3,53,No,No,2,2,3,4,G5,G6,FD7,GX1,G4A,2B,RF,LF,3B,C,1/1,1/1,1/1,2
10,48,No,No,2,3,3,5,G6A,G6,GX4,G4,F8,CF,2B,LF,LF,RF,1/1,1/1,1/1,2
5,85,No,Yes,2,2,1,5,G4,F8,FD9,FD9,G5,3B,C,SS,SS,RF,1/1,1/1,1/1,2
4,86,No,No,1,2,3,5,FD7,GX6,L3,GX4,G6,LF,RF,RF,SS,RF,1/1,1/1,1/1,2
10,72,No,No,3,3,2,3,F8,F8,F8,F8,G1A,3B,RF,3B,2B,1B,1/1,1/1,1/1,2
7,82,No,No,2,3,2,4,GX6,GX6,FD9,G3A,G4,CF,CF,1B,C,RF,1O/2,1O/2,2,2O
8,11,No,No,1,3,3,4,G6,F7,G3A,G5,G5,SS,3B,LF,SS,2B,1O/2,1O/2,2,2O
5,41,No,No,3,3,2,5,G6A,L6,G2A,FD7,F8,SS,P,C,CF,2B,1O/2,1O/2,2,2O
CD,84,No,Yes,1,1,1,4,L5,F7,F8,G3A,G5A,CF,2B,CF,1B,1B,1O/2,1O/2,2,2O
7,13,No,No,1,2,3,5,F2,F3,G5A,GX3,G6,LF,RF,CF,LF,LF,1O/2,1O/2,2,2O
10,55,No,No,1,2,2,4,G1A,F8,FD7,G1A,GX4,1B,CF,CF,CF,1B,1/1,1/1,1/1,2
2,15,No,No,3,2,2,4,G6,L6,G3,GX4,F6,1B,2B,3B,CF,2B,1/1,1/1,1/1,2
9,32,No,No,3,2,1,5,FD7,G4,F4,GX3,F3,CF,SS,2B,2B,CF,1/1,1/1,1/1,2
8,14,No,No,1,3,3,5,GX5,G6,FD8,G5A,G4A,2B,LF,2B,1B,P,1/1,1/1,1/1,2
4,56,No,No,3,3,2,5,G6A,GX5,G4,F7,G6A,P,RF,LF,SS,2B,1/1,1/1,1/1,2
11,62,No,No,2,3,3,4,G3A,F9,F7,G4A,GX4,2B,LF,SS,CF,C,1O/2,1O/2,2,2O
6,74,No,No,1,2,2,4,F2,G6,FD9,GX6,L3,3B,C,1B,LF,P,1O/2,1O/2,2,2O
7,47,No,No,2,3,1,5,GX6,G4,F8,FD8,G3,SS,RF,2B,2B,LF,1O/2,1O/2,2,2O
6,28,No,No,2,2,1,4,FD7,F8,GX4,G6,G1A,2B,CF,CF,RF,SS,1O/2,1O/2,2,2O
6,55,No,Yes,1,3,2,3,G6A,G5,G1A,G6A,G5,SS,2B,SS,CF,C,1O/2,1O/2,2,2O
7,83,No,No,1,3,2,4,F7,L4,F8,FD9,G5,3B,RF,C,SS,LF,1/1,1/1,1/1,2
7,25,No,No,2,3,2,5,F9,FD8,FD9,G5,G4,SS,2B,CF,2B,2B,1/1,1/1,1/1,2
9,47,No,Yes,3,2,3,4,F7,G6,GX4,L4,G3,CF,2B,RF,CF,RF,1/1,1/1,1/1,2
11,41,No,No,1,3,2,4,FD7,G5,F9,FD9,G4A,3B,LF,C,P,P,1/1,1/1,1/1,2
7,63,No,No,3,2,1,4,F7,L4,L4,F9,G5,3B,SS,CF,3B,2B,1/1,1/1,1/1,2
CD,68,No,No,1,3,3,4,G5,GX5,GX4,G1A,F6,RF,CF,SS,1B,2B,1O/2,1O/2,2,2O
7,25,No,Yes,2,1,3,4,FD8,FD9,GX6,F3,G2A,SS,SS,1B,1B,RF,1O/2,1O/2,2,2O
7,42,No,No,1,2,1,4,L5,F5,G3A,FD8,G4,LF,2B,LF,SS,2B,1O/2,1O/2,2,2O
4,86,No,Yes,1,2,3,5,F9,GX4,F5,F2,F7,LF,CF,RF,LF,CF,1O/2,1O/2,2,2O
8,27,No,No,2,1,3,4,L1,GX1,G6,F7,FD8,SS,CF,SS,CF,2B,1O/2,1O/2,2,2O
5,34,No,No,2,2,1,4,G6A,GX4,FD9,G1A,F2,SS,3B,RF,1B,C,1/1,1/1,1/1,2
Z,33,No,No,1,2,2,4,F9,GX4,G3,F8,G3A,SS,CF,P,CF,CF,1/1,1/1,1/1,2
10,66,No,No,2,2,1,5,L6,F3,F2,F8,G6,3B,SS,P,CF,SS,1/1,1/1,1/1,2
10,23,No,Yes,2,3,2,4,GX6,F9,G3,GX4,GX6,LF,SS,C,CF,3B,1/1,1/1,1/1,2
6,18,No,No,3,2,3,5,F8,F9,G5,G4A,L5,RF,3B,LF,RF,2B,1/1,1/1,1/1,2
CD,11,No,No,2,2,3,4,L5,F8,GX3,FD8,G3A,C,3B,SS,1B,P,1O/2,1O/2,2,2O
6,43,No,Yes,1,1,1,5,L5,F3,G4,G5A,G6A,SS,LF,SS,2B,3B,1O/2,1O/2,2,2O
8,65,No,No,2,2,3,4,G1A,F8,GX3,G6,L4,SS,3B,RF,1B,SS,1O/2,1O/2,2,2O
8,34,No,Yes,2,3,1,3,GX1,G1A,G6A,GX1,G3A,LF,RF,RF,2B,SS,1O/2,1O/2,2,2O
CD,83,No,No,2,2,1,5,L6,G6A,FD9,F4,F6,SS,LF,SS,P,3B,1O/2,1O/2,2,2O
6,67,No,Yes,1,2,1,4,G4A,FD8,F4,FD7,G5,3B,RF,RF,C,P,1/1,1O,1/1,2
10,11,No,No,3,1,1,5,FD7,G6,L1,FD7,GX6,RF,CF,1B,C,C,1/1,1O,1/1,2
10,57,No,No,1,2,1,4,G4,GX6,GX3,G4,G5A,CF,1B,2B,1B,1B,1/1,1O,1/1,2
12,68,No,No,1,3,1,4,FD7,F8,G4,G4,L1,RF,CF,1B,LF,RF,1/1,1O,1/1,2
10,45,No,No,2,1,1,5,G5,FD7,G6,F8,G6,3B,SS,2B,RF,LF,1/1,1O,1/1,2
5,73,No,No,2,2,2,4,G5,F8,GX5,L3,G3A,CF,2B,CF,1B,SS,1O/2,1O/2,2,2O
10,76,No,Yes,1,3,2,3,F8,G5A,F7,F9,G5,LF,LF,RF,C,CF,1O/2,1O/2,2,2O
10,74,No,Yes,1,2,1,4,L6,F8,F9,G4,G1A,SS,2B,2B,LF,P,1O/2,1O/2,2,2O
10,71,No,Yes,3,2,1,3,G6,GX1,G4A,FD8,FD7,CF,2B,RF,RF,C,1O/2,1O/2,2,2O
4,85,No,No,3,3,1,5,L6,G6A,FD9,G6,L3,LF,3B,P,C,CF,1O/2,1O/2,2,2O
11,54,No,No,1,2,1,5,L5,F7,G4A,FD8,G4,SS,RF,1B,2B,C,1/1,1O,1/1,2
9,48,No,No,1,2,3,5,F8,F9,G4,G4A,GX3,RF,3B,CF,LF,P,1/1,1O,1/1,2
6,53,No,No,3,3,1,4,FD7,G6,G3A,F3,F4,LF,SS,RF,RF,P,1/1,1O,1/1,2
8,75,No,Yes,2,1,2,4,G4A,G5,F7,G3,GX5,SS,SS,1B,LF,CF,1/1,1O,1/1,2
11,61,No,No,1,2,2,4,F8,L4,F7,GX4,G4,2B,RF,1B,LF,CF,1/1,1O,1/1,2
3,64,No,No,1,2,1,5,F8,G6A,L1,FD8,GX5,RF,1B,SS,CF,2B,1O/2,2,2,2O
5,47,No,Yes,1,2,1,5,GX5,G3A,G2A,FD8,F2,LF,3B,1B,LF,C,1O/2,2,2,2O
7,71,No,Yes,1,3,1,5,GX6,GX4,G6A,G6,GX3,C,LF,2B,CF,RF,1O/2,2,2,2O
7,58,No,Yes,2,2,1,5,F6,G6,F9,F7,G4,RF,RF,CF,RF,1B,1O/2,2,2,2O
6,54,No,Yes,3,2,1,5,F9,G4,G4A,G5,FD7,C,LF,P,RF,CF,1O/2,2,2,2O
9,26,No,Yes,1,2,3,5,FD9,L6,FD7,G6A,GX1,2B,LF,CF,1B,P,1/1,1O,1/1,2
7,43,No,No,1,3,3,5,GX5,F8,G2A,F7,G3,LF,CF,LF,3B,RF,1/1,1O,1/1,2
8,22,No,No,3,1,2,5,GX5,G6,GX5,F8,GX6,2B,P,RF,2B,P,1/1,1O,1/1,2
8,21,No,No,1,3,1,5,F7,L1,L3,F7,G3A,3B,RF,1B,SS,SS,1/1,1O,1/1,2
7,73,No,No,2,2,2,4,F2,F6,FD9,G5A,GX1,LF,CF,CF,1B,C,1/1,1O,1/1,2
