PB,Random,CD,Pitch,Error,E-P,E-C,E-1B,E-2B,E-3B,E-SS,E-OF,P,LN,LP,SN,SP,RN,RP
7,54,RF,No,10,1,1,1,2,2,2,4,Gx4*,Gx4*,G4A*,G6*,G3-1A*,G5*,G5*
6,42,SS,No,None,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
3,47,SS,Yes,None,1,1,1,2,2,2,4,G5*,L4,L4,L5,G5*,L6,L6
7,14,2B,No,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
9,46,SS,No,None,1,1,1,2,2,2,4,G1A*,F9,F9,G6*,G1*,F7,G5*
10,88,CF,No,None,3,3,3,3,3,3,5,G5*,G5*,G5*,G5*,G5*,G5*,G5*
7,47,3B,No,None,1,1,1,2,2,2,4,Gx1*,G4A*,F4*,F5,F5,F6,F6*
3,16,3B,No,None,3,3,1,1,1,1,4,F2,F2,F2,F2,F2,F2,F2
5,51,CF,Yes,None,1,1,1,2,2,2,4,G4A*,G1A*,Gx1*,G1A*,Gx1*,G1A*,Gx1*
BD,25,2B,Yes,None,3,3,1,1,1,1,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
7,45,LF,No,None,1,1,1,2,2,2,4,F7,FD9,FD9*,G3*,G5*,FD7,FD7*
7,12,P,Yes,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
CD,85,3B,No,None,3,3,3,3,3,3,5,F2,G6*,G6*,F1,G6A*,G6A*,G6*
10,13,1B,Yes,None,3,3,1,1,1,1,4,F8,F8,F8,F8,F8,F8,F8
4,73,1B,No,None,1,1,1,2,2,2,4,G3*,F8,G4*,F9,F8,F8,F7
10,31,CF,Yes,None,3,3,3,3,3,3,4,F9,F9,F9,F9,F9,F9,F9
6,65,SS,Yes,None,1,1,1,2,2,2,4,G5*,G5*,F5,F5,F5,F3,F3
9,52,2B,No,None,1,1,1,2,2,2,4,G6*,G6*,G6*,G6*,G6*,G6*,G6*
3,58,2B,No,None,1,1,1,2,2,2,4,G3*,G1*,FD9,F9,FD7,G6*,FD7
2,17,SS,No,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
7,31,1B,No,None,3,3,1,1,1,1,4,G4A*,G1A*,G4A*,G1A*,Gx1*,G1A*,Gx1*
12,35,SS,No,None,1,1,1,2,2,2,4,F5,F5,F5,F5,F5,F5,F5
4,62,RF,Yes,None,1,1,1,2,2,2,4,F2*,G3-1A*,F3,F7,FD7,FD7,FD7
3,38,SS,No,None,3,3,1,1,1,1,4,F9,F9,F9,F9,F9,F9,F9
4,57,1B,No,None,1,1,1,2,2,2,4,L5*,L3*,L3*,G6*,G6*,L5,L5*
8,72,CF,No,1-10,3,3,1,1,1,1,4,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*
5,56,3B,Yes,None,1,1,1,2,2,2,4,G3*,L1*,Gx6*,L1,L1,G4A*,L1
7,34,2B,No,None,3,3,1,1,1,1,4,F4,F4,F4,F4,F4,F4,F4
7,61,SS,No,None,1,1,1,2,2,2,4,G6A*,G4*,G3*,F8,FD8,G1*,F8
2,18,2B,Yes,None,3,3,1,1,1,1,4,F6,F6,F6,F6,F6,F6,F6
3,54,LF,No,None,1,1,1,2,2,2,4,Gx6*,Gx4*,Gx1*,G5*,G6A*,G5*,G5*
4,64,SS,No,None,1,1,1,2,2,2,4,F2,F2,F2,F2,F2,F2,F2
10,11,2B,Yes,None,3,3,1,1,1,1,4,G5*,L4,G3-1A*,L5,G3-1A*,L6,L6
11,71,3B,Yes,None,1,1,1,2,2,2,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
8,73,SS,No,None,1,1,1,2,2,2,4,G3*,F8,G4*,F9,F8,F8,F7
CD,11,CF,No,None,3,3,1,1,1,1,4,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*
BD,33,2B,No,None,3,3,1,1,1,1,4,F3,F3,F3,F3,F3,F3,F3
2,16,C,No,None,3,3,1,1,1,1,4,F2,F2,F2,F2,F2,F2,F2
8,51,2B,No,None,1,1,1,2,2,2,4,G4A*,G1A*,Gx1*,G1A*,G4*,G1A*,Gx1*
5,66,SS,No,None,1,1,1,2,2,2,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
10,15,SS,Yes,None,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
5,88,C,No,2-10,3,3,3,3,3,3,5,F4,G6A*,G6*,G5*,G6*,G4A*,G4A*
9,36,LF,No,None,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
7,25,P,No,3-10,3,3,1,1,1,1,4,F2,G6*,G6*,F1,G6A*,G6A*,G6*
10,18,LF,Yes,None,3,3,1,1,1,1,4,G2*,G2*,G2*,G2*,G2*,G2*,G2*
8,45,SS,No,None,1,1,1,2,2,2,4,G2A,G2A,G2A,G2A,G2A,G2A,G2A
8,81,P,No,None,3,3,3,3,3,3,4,G6*,G6*,G6*,G6*,G6*,G6*,G6*
7,58,LF,Yes,None,1,1,1,2,2,2,4,G3*,G1*,FD9,F9,FD9,G6*,FD7
7,28,SS,No,None,3,3,1,1,1,1,4,G3*,G1*,G4*,G4*,L4*,L6*,G4*
4,48,P,No,None,1,1,1,2,2,2,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
8,57,SS,No,None,1,1,1,2,2,2,4,L5*,L3,L3*,L5,G6*,L5,L5*
7,18,3B,No,None,3,3,1,1,1,1,4,G2*,G2*,G2*,G2*,G2*,G2*,G2*
4,54,2B,Yes,None,1,1,1,2,2,2,4,F5,L4,G2*,G4A*,L3,Gx6*,G6A*
4,88,2B,Yes,None,3,3,3,3,3,3,5,G5*,G5*,G5*,G5*,G5*,G5*,G5*
5,73,RF,No,None,1,1,1,2,2,2,4,G3*,F8,F4*,F9,F8,F8,F7
7,81,SS,Yes,9-10,1,1,1,2,2,2,5,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*
BD,24,SS,No,None,3,3,1,1,1,1,4,G6*,F3*,F3,F3,G3*,F5*,F5
10,23,CF,Yes,None,3,3,1,1,1,1,4,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*
7,55,SS,No,10,1,1,1,2,2,2,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
6,14,3B,No,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
11,74,LF,No,None,1,1,1,2,2,2,4,F7,L1*,FD9*,G3*,G5*,FD7,FD7*
6,44,2B,Yes,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
CD,14,2B,Yes,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
CD,16,1B,No,None,3,3,1,1,1,1,4,G2A,G2A,G2A,G2A,G2A,G2A,G2A
6,76,SS,No,None,1,1,1,2,2,2,4,F4,F2,F2,G6A*,G3*,F2,F2
10,34,3B,No,None,3,3,1,1,1,1,4,F4,F4,F4,F4,F4,F4,F4
8,67,3B,Yes,None,1,1,1,2,2,2,4,F2*,L5,L5,G5*,L4,L3,G6*
BD,31,3B,No,None,3,3,1,1,1,1,4,F9,F9,F9,F9,F9,F9,F9
8,58,P,Yes,None,3,3,3,3,3,3,4,G4A*,G3*,F7,G4*,G4*,G5*,F8
9,45,2B,Yes,None,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
10,14,CF,No,None,3,3,1,1,1,1,4,Gx3*,G1*,Gx1*,G6*,G1*,Gx1*,Gx1*
7,42,SS,No,2-10,1,1,1,2,2,2,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
BD,36,3B,No,None,3,3,1,1,1,1,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
Z,44,1B,Yes,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
9,51,P,No,3-10,1,1,1,2,2,2,4,G4A*,G1A*,Gx1*,G1A*,Gx1*,G1A*,Gx1*
6,87,2B,No,None,3,3,3,3,3,3,5,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*
4,68,2B,No,None,1,1,1,2,2,2,4,F4,F2,F2,G6A*,G3*,F2,F2
CD,21,P,Yes,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
9,65,3B,Yes,None,1,1,1,2,2,2,4,F5,G3-1A*,F3,F5,F3,F5,G5*
BD,34,SS,No,None,3,3,1,1,1,1,4,F4,F4,F4,F4,F4,F4,F4
BD,43,3B,No,None,1,1,1,2,2,2,4,F9,F9,F9,F9,F9,F9,F9
7,27,RF,No,None,3,3,1,1,1,1,4,G6*,F6,G3*,F6,F6,G5*,F4
8,87,CF,Yes,8-10,3,3,3,3,3,3,5,F8,F8,F8,F8,F8,F8,F8
6,67,2B,No,None,1,1,1,2,2,2,4,G5*,L5,L5,G5*,L4,L3,G6*
BD,32,SS,No,None,3,3,1,1,1,1,4,G6*,Gx1*,F7,F9,F9,F2,F9
9,28,C,No,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
CD,82,CF,No,None,1,1,1,1,1,1,5,G2*,FD9,G4A*,Gx3*,G3A*,G5A*,F7
2,33,SS,No,None,3,3,1,1,1,1,4,F3,F3,F3,F3,F3,F3,F3
7,66,SS,Yes,None,1,1,1,2,2,2,4,G6*,F6,G3*,F6,F6,F5*,G5*
9,21,RF,Yes,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
8,56,SS,No,None,1,1,1,2,2,2,4,G3*,L1*,Gx6*,L1,L1,G4A*,L1
7,83,LF,Yes,None,3,3,1,1,1,1,4,F4,F4,F4,F4,F4,F4,F4
7,41,3B,No,None,1,1,1,2,2,2,4,F3*,Gx6*,G5A*,FD8,FD8,Gx6*,Gx3*
3,52,2B,Yes,None,1,1,1,2,2,2,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
8,84,SS,No,None,3,3,3,3,3,3,4,G3*,G1*,G4*,G4*,L4*,L6*,G5*
10,26,LF,No,9-10,3,3,3,3,3,3,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
9,16,SS,Yes,None,3,3,1,1,1,1,4,G6*,F2,F2,Gx6*,Gx6*,F2,F2
5,11,P,No,None,3,3,1,1,1,1,4,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*
Z,47,SS,No,None,1,1,1,2,2,2,4,G5*,L4,L4,L5,G5*,L6,L6
6,13,CF,No,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
7,22,CF,Yes,None,3,3,1,1,1,1,4,Gx3*,G1*,Gx1*,G6*,G1*,Gx1*,Gx1*
6,64,RF,No,None,1,1,1,2,2,2,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
5,55,3B,No,None,3,3,3,3,3,3,5,Gx1*,G4A*,F4*,F5,F5,F6,F6*
6,12,CF,No,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
7,71,3B,Yes,None,1,1,1,2,2,2,4,F4,G6A*,G6A*,G6A*,Gx6*,G1*,G6*
9,31,SS,Yes,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
8,54,3B,No,6-10,1,1,1,2,2,2,4,Gx4*,Gx4*,G6*,G4A*,G3-1A*,G6A*,G5*
9,22,3B,No,None,3,3,1,1,1,1,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
7,62,LF,Yes,None,1,1,1,2,2,2,4,G3*,G1*,FD9,F9,FD9,G6*,FD7
7,46,SS,Yes,3-10,1,1,1,2,2,2,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
8,71,C,No,6-10,1,1,1,2,2,2,4,G5*,G6A*,G6A*,G6A*,Gx6*,G1*,L5*
5,78,3B,Yes,None,1,1,1,2,2,2,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
4,84,C,No,None,3,3,3,3,3,3,5,G6*,F2,F2,Gx6*,Gx6*,F2,F2
7,43,3B,Yes,8-10,1,1,1,2,2,2,4,F9,F9,F9,F9,F9,F9,F9
6,66,SS,No,None,1,1,1,2,2,2,4,G6*,F6,G5*,G3*,F4,F6,F6
11,81,LF,Yes,None,3,3,3,3,3,3,5,F9,F9,F9,F9,F9,F9,F9
5,71,CF,No,None,1,1,1,2,2,2,4,G5*,G6A*,G4A*,G5A*,Gx6*,G1A*,G6*
2,37,3B,Yes,None,3,3,1,1,1,1,4,F6,F6,F6,F6,F6,F6,F6
5,76,P,No,None,1,1,1,2,2,2,4,F4,F2,F2,G6A*,G3*,F2,F2
5,85,3B,Yes,None,3,3,3,3,3,3,5,G2*,G2*,G2*,G2*,G2*,G2*,G2*
7,38,3B,Yes,None,3,3,1,1,1,1,4,F9,F9,F9,F9,F9,F9,F9
BD,37,3B,No,None,3,3,1,1,1,1,4,F6,F6,F6,F6,F6,F6,F6
10,41,3B,Yes,None,1,1,1,2,2,2,4,G1*,G4*,G4A*,F6,Gx6*,Gx6*,G5*
9,53,SS,Yes,None,1,1,1,2,2,2,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
4,71,SS,Yes,None,1,1,1,2,2,2,4,G6*,G6A*,G3-1A*,G6A*,Gx6*,G1*,G6*
4,55,P,Yes,None,1,1,1,2,2,2,4,F9,F9,F9,F9,F9,F9,F9
3,53,CF,Yes,None,1,1,1,2,2,2,4,G6*,F3,F3*,F3,G3*,F5*,F5
7,23,1B,No,None,3,3,1,1,1,1,4,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*
9,43,3B,No,None,1,1,1,2,2,2,4,L6,G6*,G6*,Gx4*,Gx4*,G6*,L5
9,25,RF,No,None,3,3,1,1,1,1,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
5,63,SS,Yes,None,1,1,1,2,2,2,4,F3,Gx6*,G6A*,FD8,FD8,Gx6*,Gx3*
5,82,2B,Yes,None,3,3,3,3,3,3,5,G4*,G4*,G4*,G4*,G4*,G4*,G4*
6,78,2B,No,3-10,1,1,1,2,2,2,4,G4A*,F9,G5*,F9,Gx1*,F7,G4A*
12,27,3B,Yes,None,3,3,1,1,1,1,4,F4*,F4*,F4*,F4*,F4*,F4*,F4*
12,35,SS,No,None,1,1,1,2,2,2,4,F5,F5,F5,F5,F5,F5,F5
7,16,CF,No,4-10,3,3,1,1,1,1,4,F2,F2,F2,F2,F2,F2,F2
8,78,1B,No,None,1,1,1,2,2,2,4,G4A*,F9,G5*,F9,G4*,G6A*,G6A*
8,84,C,Yes,5-10,3,3,3,3,3,3,5,G5*,G5*,G5*,G5*,G5*,G5*,G5*
6,31,1B,No,None,1,1,1,2,2,2,4,L6,G6*,G6*,Gx4*,Gx4*,Gx4*,L5
BD,23,CF,No,None,3,3,1,1,1,1,4,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*
5,77,SS,No,None,1,1,1,2,2,2,4,G3*,G1*,G4*,G4*,L4*,L6*,G6*
2,21,RF,Yes,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
8,75,SS,Yes,None,1,1,1,2,2,2,4,Gx3*,G1*,Gx1*,G6*,G1*,Gx1*,Gx1*
10,16,P,No,None,3,3,1,1,1,1,4,F2,F2,F2,F2,F2,F2,F2
3,48,P,Yes,None,1,1,1,2,2,2,4,F2,G6*,G6*,F1,G6A*,G6A*,G6*
12,23,SS,Yes,None,3,3,1,1,1,1,4,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*
8,88,3B,Yes,4-10,3,3,3,3,3,3,5,G4A*,G3*,F7,G4*,Gx1*,G6*,F8
8,86,RF,Yes,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
8,88,LF,No,8-10,1,1,1,2,2,2,5,G3*,F8,G4*,F9,F8,F8,F7
9,33,CF,No,None,3,3,1,1,1,1,4,F3,F3,F3,F3,F3,F3,F3
8,47,P,No,None,1,1,1,,,,4,G5*,L4,L4,L5,G5*,L6,L6
7,51,LF,No,None,1,1,1,2,2,2,4,F9,F9,F9,F9,F9,F9,F9
4,82,RF,No,None,1,1,1,2,2,2,5,G3*,F1*,FD9,F9,FD9,G6*,FD7
BD,26,2B,No,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
8,64,P,No,None,1,1,1,2,2,2,4,L5*,G6A*,G6*,G5*,G6*,G4A*,G4A*
6,28,C,No,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
5,58,SS,No,None,1,1,1,2,2,2,4,G3*,G1*,FD9,F9,FD9,G6*,FD7
6,74,RF,Yes,None,1,1,1,2,2,2,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
3,55,3B,No,None,1,1,1,2,2,2,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
9,24,CF,Yes,None,3,3,1,1,1,1,4,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*
7,52,SS,No,None,1,1,1,2,2,2,4,G6*,F2,F2,Gx6*,Gx6*,F2,F2
7,72,RF,No,10,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
CD,84,SS,No,None,3,3,3,3,3,3,5,G4A*,F9,G5*,F9,G4*,F7,G6A*
7,44,3B,No,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
8,87,P,No,None,1,1,1,2,2,2,5,G6*,Gx1*,F7,F9,F9,F2,F9
6,85,SS,Yes,4-10,3,3,3,3,3,3,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
2,15,CF,No,None,3,3,1,1,1,1,4,Gx6*,Gx4*,G4A*,G5*,G5A*,G4A*,G5*
12,31,C,No,None,3,3,1,1,1,1,4,F9,F9,F9,F9,F9,F9,F9
6,86,C,No,None,3,3,3,3,3,3,5,F7,FD9,FD9*,G3*,G5*,FD7,FD7*
3,33,RF,No,None,3,3,1,1,1,1,4,F3,F3,F3,F3,F3,F3,F3
7,37,2B,No,None,3,3,1,1,1,1,4,G6*,F3*,F3,F3,G3*,F5*,F5
10,43,SS,No,None,1,1,1,2,2,2,4,F9,F9,F9,F9,F9,F9,F9
4,78,3B,Yes,None,1,1,1,2,2,2,4,G4A*,F9,G3-1A*,F9,G4*,G5A*,G5A*
7,12,3B,No,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
5,62,SS,Yes,None,1,1,1,2,2,2,4,F2*,FD9,FD9,F7,FD7,F7,FD7
9,23,3B,No,None,3,3,1,1,1,1,4,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*
4,61,SS,Yes,None,1,1,1,2,2,2,4,G6*,G6A*,G5A*,G6A*,Gx6*,G1*,G6*
10,38,2B,No,None,3,3,1,1,1,1,4,F9,F9,F9,F9,F9,F9,F9
12,27,3B,Yes,None,3,3,1,1,1,1,4,F2*,FD9,FD9,F7,FD8,FD7,FD7
BD,85,RF,No,None,1,1,1,2,2,2,5,F7,F7,F7,F7,F7,F7,F7
4,63,3B,Yes,None,1,1,1,2,2,2,4,F3*,Gx4*,G5A*,FD8,FD8,Gx6*,Gx3*
11,52,SS,Yes,None,1,1,1,2,2,2,4,F6,F6,F6,F6,F6,F6,F6
6,84,SS,Yes,None,3,3,3,3,3,3,4,F5,L4,G2*,G4A*,L3,Gx6*,G6A*
12,36,CF,Yes,None,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
9,55,LF,No,None,1,1,1,2,2,2,4,Gx1*,G4A*,F4*,F5,F5,F6,F6*
CD,83,2B,Yes,None,3,3,3,3,3,3,5,G5*,G5*,G5*,G5*,G5*,G5*,G5*
8,56,SS,No,None,1,1,1,2,2,2,4,F5,Gx4*,Gx4*,Gx4*,G4*,Gx6*,F6
7,21,SS,Yes,10,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
10,86,2B,No,None,1,1,1,3,3,3,5,F3,F9,F9,F7,FD7,F7,G6A*
2,48,3B,No,None,1,1,1,2,2,2,4,F2,F2,F2,F2,F2,F2,F2
8,62,C,No,None,1,1,1,2,2,2,4,F8*,FD9,FD9,F7,FD7,FD7,FD7
11,63,SS,No,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
7,77,P,No,9-10,1,1,1,2,2,2,4,G3*,G6*,G4*,G4*,L4*,L6*,G6*
2,14,LF,Yes,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
5,67,3B,Yes,None,1,1,1,2,2,2,4,F8,L5,L5,G4*,L4,L3,G6*
6,21,SS,Yes,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
6,58,2B,No,None,1,1,1,2,2,2,4,G3*,G1*,FD9,F9,FD9,G6*,FD7
6,32,SS,No,None,3,3,1,1,1,1,4,F8,F8,F8,F8,F8,F8,F8
10,37,3B,Yes,None,3,3,1,1,1,1,4,G6*,F6,G3*,F6,F6,G5*,F4
CD,15,RF,No,None,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
6,36,CF,No,None,3,3,1,1,1,1,4,G5*,G5*,F5,F5,F5,F3,F3
9,14,SS,No,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
8,61,SS,No,None,1,1,1,2,2,2,4,G6A*,G4*,G3*,F8,FD8,G1*,F8
6,11,RF,No,None,3,3,1,1,1,1,4,F7,F7,F7,F7,F7,F7,F7
11,62,2B,Yes,8-10,1,1,1,2,2,2,4,F2*,FD9,FD9,F7,FD7,FD7,FD7
11,66,2B,No,None,1,1,1,2,2,2,4,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*
4,76,3B,Yes,None,1,1,1,2,2,2,4,F2,F2,F9,F2,F2*,F2,G4*
5,54,3B,No,None,1,1,1,2,2,2,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
8,68,2B,No,None,1,1,1,2,2,2,4,L6,G6*,G6*,Gx4*,Gx4*,G6*,L5
9,18,3B,Yes,None,3,3,1,1,1,1,4,G2*,G2*,G2*,G2*,G2*,G2*,G2*
CD,17,2B,No,None,3,3,1,1,1,1,4,F3,F9,F7,F9,FD9,F7,G6A*
8,86,3B,No,8-10,3,3,3,3,3,3,5,G5*,G5*,G5*,G5*,G5*,G5*,G5*
6,77,CF,No,None,1,1,1,2,2,2,5,G3*,G1*,G4*,G4*,L4*,L6*,G4*
9,17,3B,No,5-10,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
7,57,SS,Yes,1-10,1,1,1,2,2,2,4,F8,L3,L3*,L5,G6*,L5,L5*
Z,74,CF,No,None,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
5,74,RF,No,5-10,1,1,1,2,2,2,4,F2,G6*,G6*,F1,G6A*,G6A*,G6*
7,13,3B,Yes,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
7,53,RF,No,10,1,1,1,2,2,2,4,G5A*,G4*,G3*,F8,FD8,G1*,F8
6,17,CF,No,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
8,22,P,No,None,3,3,1,1,1,1,4,Gx1*,G4A*,F4,F5,F5,F6,F6*
7,73,2B,Yes,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
8,46,3B,Yes,None,1,1,1,2,2,2,4,G6*,F3*,F3,F3,G3*,F5*,F5
8,87,SS,No,2-10,3,3,3,3,3,3,5,G6*,G6*,G6*,G6*,G6*,G6*,G6*
6,75,2B,No,None,3,3,1,1,1,1,4,G6*,F3*,F3,F3,G3*,F5*,F5
11,78,CF,No,None,1,1,1,2,2,2,4,G6*,G6*,G6*,G6*,G6*,G6*,G6*
7,43,3B,No,None,3,3,1,1,1,1,4,F4,G6A*,G6*,G5*,G6*,G4A*,G4A*
5,47,SS,Yes,None,1,1,1,2,2,2,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
9,56,2B,No,7-10,1,1,1,2,2,2,4,G3*,L1*,Gx6*,L1,L1,G4A*,L1
10,28,3B,Yes,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
